m	trial	K_relative_error	S_relative_error
500	157	-0.033542870031650573	-0.018785979579823087
500	158	0.014143105724019556	0.041597547709945948
500	159	-0.038653333874970941	-0.021860050060029557
500	160	-0.022013429083666436	0.017956481874072727
500	161	-0.066764567888577209	-0.055528441033719123
500	162	-0.11941536616049997	-0.1138625880033507
500	163	0.019139325650911365	0.034644293052336073
500	164	0.013055041677382251	0.00090270992435614872
500	165	-0.015861798630733559	0.024031430680194976
500	166	0.07071611227431851	0.078559585626713835
500	167	-0.032595940060306638	-0.033863563363692895
500	168	0.0077902891505561289	-0.014321258168094708
500	169	-0.0090121111288941069	-0.00026836454429390866
500	170	-0.0075361029684574143	-0.013589336625188464
500	171	0.021281613287387424	-0.0020981684015596302
500	172	-0.0061757861932204561	-0.011832724922213433
500	173	-0.024278278079246873	-0.0070020427390318218
500	174	-0.086657623164374531	-0.097394353287958979
500	175	-0.04273927953653156	-0.068556644497451025
500	176	-0.062607707153042313	-0.02222601083148279
500	177	-0.055777885762638091	-0.063213617234235242
500	178	-0.011118996130321634	-0.010295689682110143
500	179	-0.0036950626828899935	-0.037303594615352376
500	180	0.0036669876920456534	0.019347132805594747
500	181	0.063940954583918908	0.092832055713386374
500	182	-0.047471482734347092	-0.072216252211982579
500	183	-0.026579341036909065	-0.027056693014664401
500	184	0.034887992463792372	0.046281845584546177
500	185	0.037687379757840977	0.1117156315203689
500	186	0.021516177900489764	0.062530503837066043
500	187	-0.014946699143581155	0.0058797764161189203
500	188	-0.034050836666055684	-0.020542591282798339
500	189	0.020146873459340409	-0.001219862550072115
500	190	-0.013378089914569014	2.440407286852242e-05
500	191	-0.026681260860683564	-0.073314134526342056
500	192	-0.02872735712360408	-0.0016590154758158171
500	193	0.062130078191018567	0.049063147447590216
500	194	-0.012016795112490319	0.016419446633969548
500	195	0.057564502327145384	0.10468918470846855
500	196	-0.00037291613398093837	-0.0089782309048789255
500	197	-0.014789712021956336	0.032302144115035958
500	198	0.050121840851707899	0.021835666051476021
500	199	0.068209715896027534	0.067727146791700665
1000	0	-0.0016394711219844815	0.0074534077333674453
1000	1	0.042440049437775684	-0.0020981684015596302
1000	2	-0.0086946004702092017	-0.0062335251189802321
