k	trial	retained_edges	sampled_cost	estimate_S	relative_error
50000	28	20532	543218	697368674.76607811	-0.10489861900141062
50000	29	22773	645876	829158257.24334514	0.06425873140036753
50000	30	23229	657631	844249010.44348812	0.083628333905509944
50000	31	22524	627391	805427710.84567249	0.033799598919928897
50000	32	21240	587329	753997191.51737595	-0.03221358828219878
50000	33	22059	572679	735189915.09184682	-0.056353501229909231
50000	34	20060	548522	704177807.47331405	-0.096158817071399949
50000	35	25767	670605	860904683.09501135	0.10500657490097742
50000	36	20505	565230	725627089.01036108	-0.068627781881615335
50000	37	21266	595690	764730818.69784343	-0.01843653625791164
50000	38	22057	587544	754273202.74136829	-0.031859316522215408
50000	39	22739	626251	803964209.47194529	0.031921134704202769
50000	40	22588	626592	804401976.11092865	0.032483026193292908
50000	41	22868	616356	791261274.30262041	0.015616394866824201
50000	42	24047	657111	843581448.41336691	0.082771490579038431
50000	43	20327	552843	709724991.18899393	-0.089038778583546363
50000	44	22934	664292	852800223.29471338	0.094604167362486224
50000	45	21182	578015	742040128.53939784	-0.047560970479808118
50000	46	20826	572311	734717486.57822263	-0.056959882660950645
50000	47	24088	634015	813931424.09090829	0.044714464678675236
50000	48	23430	670589	860884142.72485375	0.10498021049093209
50000	49	20958	540408	693761272.25715411	-0.10952886851561305
50000	50	20802	562831	722547317.2598598	-0.072580795612779636
50000	51	21295	582190	747399881.37739003	-0.040681507233617409
50000	52	20799	556476	714388938.98789823	-0.083052409727639609
50000	53	22934	617939	793293487.17508543	0.018224823685679237
50000	54	20130	551349	707807034.12553048	-0.09150055537152435
50000	55	21607	591540	759403160.18822253	-0.025274805113406407
50000	56	20651	540416	693771542.44223297	-0.10951568631059039
50000	57	22334	619601	795427118.12520337	0.020963426779132766
50000	58	21993	574577	737626516.50178909	-0.053226023088287722
50000	59	21653	633101	812758055.4456569	0.043208397754838757
50000	60	21988	632741	812295897.11711144	0.042615198528819898
50000	61	22139	622615	799296410.3536365	0.025929822521412627
50000	62	20893	591417	759245256.09263611	-0.025477481515629674
50000	63	24958	726599	932788276.0077126	0.19727212340569356
50000	64	22116	637063	817844364.60592628	0.049736884792301428
50000	65	20921	572928	735509574.60242414	-0.055943205098579418
50000	66	21204	561143	720380308.20823574	-0.075362240872556718
50000	67	20529	563023	722793801.70175064	-0.072264422692236319
50000	68	22048	572696	735211739.23513925	-0.056325489044236177
50000	69	21779	590519	758092427.81754231	-0.026957184029420933
50000	70	23026	641152	823093712.95432127	0.056474639334498367
50000	71	21954	590250	757747092.84426808	-0.027400435673307189
50000	72	21590	588114	755004953.42823184	-0.030920084414352345
50000	73	22019	604362	775863699.32324874	-0.0041470260133693593
50000	74	20172	552317	709049726.52006376	-0.089905508563784875
50000	75	21808	606154	778164220.78089702	-0.0011942120882979523
50000	76	22719	635321	815608031.80502033	0.046866459648621461
50000	77	20784	552446	709215333.25445914	-0.08969294550779483
50000	78	23230	582552	747864607.25220513	-0.040085012456342994
50000	79	20662	575341	738607319.17681336	-0.051967122508625452
50000	80	21661	585061	751085594.04753971	-0.03595074340611748
50000	81	21175	594603	763335357.30026317	-0.020227668365362939
50000	82	20350	569616	731257717.9798063	-0.061400637977952588
50000	83	21093	578998	743302077.53095388	-0.045941207037651033
50000	84	22429	649012	833184169.79422975	0.069426155769242825
50000	85	21111	577137	740912975.72700095	-0.049007717481042934
50000	86	22330	595647	764675616.45304489	-0.018507390609908358
50000	87	20852	572959	735549371.5696044	-0.05589212405411681
50000	88	22984	625383	802849894.39089692	0.030490865459246175
50000	89	29510	778409	999300562.12420821	0.28264337868356915
50000	90	20668	581116	746021109.03056276	-0.042451218257907097
